id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
28625653,BRUGES Centre chambre à louer,16276100,Patricia,Bruges,Bruges,44.88834,-0.6124,Private room,22,2,23,2019-06-20,0.59,4,0,0,
28629501,Appartement centre historique 38 m2,68110726,Yassmine,Bordeaux,Centre ville (Bordeaux),44.83751,-0.56743,Entire home/apt,45,365,1,2018-10-26,0.03,1,0,0,
28636833,Une chambre au calme à deux pas de Bordeaux.,31541084,Christelle,Artigues-Prs-Bordeaux,Artigues-Prs-Bordeaux,44.85148,-0.48477,Private room,50,1,0,,,1,0,0,
28650136,"Super appartement type T2 , spacieux et confort",215688517,Cecile,Merignac,Centre ville (Merignac),44.8379,-0.65062,Entire home/apt,45,50,2,2021-09-13,0.39,1,170,2,
28657389,Cosy loft in the city center,215224846,Samuel,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.83161,-0.57942,Entire home/apt,60,365,2,2018-12-17,0.05,1,0,0,
28657446,chambre privée,37690282,Carole &  Jack,Ambs,Ambs,45.01193,-0.53415,Private room,39,1,11,2021-11-07,0.34,1,179,3,
28663565,T2 Bordeaux,19312604,Pat,Bordeaux,La Bastide,44.83926,-0.55505,Entire home/apt,44,1,12,2018-11-06,0.31,1,0,0,3306300244896
28666901,"Appart T2 Mériadeck, Centre",42518154,Charlene,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.83226,-0.58568,Entire home/apt,40,365,4,2019-03-01,0.11,2,0,0,
28708124,Superb house with a garden in Bordeaux,291032298,Luckey,Bordeaux,Centre ville (Bordeaux),44.85056,-0.58754,Entire home/apt,259,2,32,2021-11-07,0.83,38,91,10,3306300429924
28710647,Villa Maria 50 m2 jardin et wifi fibre optique,215679858,Didier,Saint-Mdard-en-Jalles,Saint-Mdard-en-Jalles,44.89723,-0.7688,Entire home/apt,60,7,63,2021-11-18,1.62,2,0,15,
28728432,"Hypercentre: entrée indépendante, calme & confort",107456411,Célia & Simon,Bordeaux,Centre ville (Bordeaux),44.83671,-0.57384,Private room,47,3,153,2021-11-26,3.92,2,16,36,3306300225098
28734479,Jolie maison avec piscine proche Bordeaux centre,9557248,David,Talence,Talence,44.8059,-0.57312,Entire home/apt,150,14,5,2021-09-08,0.13,1,335,2,
28738471,House District Chartrons 180m2 with terrace.,89057760,Isabelle,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85369,-0.57721,Entire home/apt,400,2,14,2020-10-04,0.38,2,2,0,33063002459D8
28739315,Chambre privée/maison pierre Quartier Chartrons,89057760,Isabelle,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85398,-0.57731,Entire home/apt,120,365,0,,,2,0,0,
28747605,Charmant Studio proche Bordeaux centre,158193742,Tony,Talence,Talence,44.82267,-0.59277,Entire home/apt,53,1,106,2021-11-28,3.30,2,303,36,
28749407,Chambre 2 personnes au Sud de Bordeaux,111018982,Hélène,Gradignan,Gradignan,44.76791,-0.59851,Shared room,25,1,1,2018-11-17,0.03,1,7,0,
28750167,Petit coin tranquille,70109873,Guitou,Talence,Talence,44.80306,-0.58381,Entire home/apt,39,2,59,2021-11-19,1.52,1,44,17,
28754446,"Cosy T2 cité du vin, Bordeaux",38540952,Lyne,Bordeaux,Bordeaux Maritime,44.86391,-0.55814,Entire home/apt,50,2,23,2021-08-15,0.59,1,0,4,33063005339F1
