id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
31558877,Superieur Suite Mystère - 2 Pl Gailleton - MiHotel,4371135,MiHotel,,2e Arrondissement,45.75361,4.83324,Hotel room,500,1,0,,,2,365,0,6938212399617
31584068,Chambrette jaune lyonnaise,65326569,Sylviane,,8e Arrondissement,45.73276,4.87618,Private room,23,6,5,2021-08-31,0.15,4,0,1,
31586690,Chambre chaleureuse dans appartement vintage !,82919874,Flavie,,7e Arrondissement,45.73754,4.84078,Private room,27,1,12,2021-10-25,0.34,1,0,5,
31588170,Chambrette  bleue lyonnaise,65326569,Sylviane,,8e Arrondissement,45.7307,4.87503,Private room,23,6,3,2021-07-31,0.09,4,0,2,
31612981,MEMORABLEPLACE-Studio Saint Louis - Design & cosy,414476002,Memorable,,7e Arrondissement,45.75184,4.84844,Entire home/apt,58,2,76,2021-07-18,2.17,34,144,13,6938712583085
31620347,Petite chambre charmante et calme au cœur du 6eme,46954594,Vanina,,6e Arrondissement,45.7699,4.84098,Private room,59,1,12,2019-12-15,0.34,3,160,0,
31628356,T3 Familial Cx  Rousse Belvedere - Appart'Ambiance,683086,Karine,,4e Arrondissement,45.77687,4.83761,Entire home/apt,243,3,5,2021-11-02,0.16,45,283,3,0693841238611
31628357,Quiet 1-Bdr work area balconies - Appart'Ambiance,683086,Karine,,1er Arrondissement,45.77367,4.83135,Entire home/apt,181,3,4,2020-09-30,0.13,45,204,0,6938112419341
31628365,Chenas - Appart'Ambiance,683086,Karine,,6e Arrondissement,45.76468,4.85692,Entire home/apt,211,3,2,2019-10-13,0.08,45,314,0,6938612373969
31628370,Cosy T2 à FOCH Cuvier - Appart'Ambiance,683086,Karine,,6e Arrondissement,45.76695,4.84495,Entire home/apt,194,3,2,2021-06-05,0.17,45,225,2,6938612372682
31628376,T1 Guichard/Part-Dieu Duguesclin - Appart'Ambiance,683086,Karine,,3e Arrondissement,45.75917,4.84929,Entire home/apt,134,3,1,2020-07-17,0.06,45,358,0,6938312373557
